Rank,Word,Part of Speech,English Translation,Phrase,English Phrase
3086,crítico,nm,critic,los críticos la pueden juzgar como una obra extraordinaria,critics can judge it as an extraordinary work
3087,cenar,v,to dine,"aquella noche, después de cenar salimos a dar un paseo","that night, after eating we went for a walk"
3088,depresión,nf,"depression, slump",estoy en un estado de depresión tremendo,I am in a terrible state of depression
3089,paraguayo,adj,Paraguayan,lo debatirán en la prensa paraguaya,it will be debated in the Paraguayan press
3090,suspirar,v,to sigh,"se sentó serio y pensativo, suspiró largamente",he sat down in a serious and thoughtful manner; and sighed deeply
3091,básicamente,adv,basically,estaban pensando básicamente en la modernización del sector,they were basically thinking of the modernization of the area
3092,vicepresidente,nm/f,vice president,Castro y su hermano son presidente y vicepresidente de Cuba,Castro and his brother are president and vice president of Cuba
3093,desaparición,nf,disappearance,notaban mi desaparición y mi regreso,they noticed my disappearance and my return
3094,magia,nf,magic,"De repente, como por arte de magia, la puerta abrió.","Suddenly, as if by magic, the door opened."
3095,prima,nf,"female cousin, down payment",visitan una prima y unos parientes,they are visiting a cousin and some relatives
3096,adorar,v,"to worship, adore",el rezar es una forma de adorar a los dioses,prayer is a form of worshipping gods
3097,afán,nm,"eagerness, zeal, effort",lo que no me parece bien es este afán de consumismo,I don’t think this eagerness for consumerism is a good thing
3098,casco,nm,helmet,el policía va protegido con un casco y con un escudo,the policeman is protected by a helmet and shield
3099,retener,v,"to keep, retain",los padres prefieren retener en casa a sus hijos,the parents preferred to keep their children at home
3100,estético,adj,aesthetic,los cuadros dan mucha satisfacción estética,the paintings provide a lot of aesthetic pleasure
3101,martes,nm,Tuesday,todos los martes y jueves voy a mi terapia con el psicoanalista,every Tuesday and Thursday I go to therapy with a psychoanalyst
3102,urgencia,nf,urgency,"hagámoslo ahora, sin ese sentimiento de urgencia o de emergencia","let’s do it now, without that feeling of urgency or emergency"
3103,proveer,v,to provide,nuestro jefe proveía de uniformes y documentos oficiales,our boss provided uniforms and official documents
3104,receta,nf,"recipe, prescription",voy a leer esa receta para el pastel de papa,I am going to read that recipe for the potato pie
3105,editorial,nmf,"publisher (f), editorial article (m)",la revista será publicada por la editorial Oxford University Press,the magazine will be published by the Oxford University Press publishers
3106,taxi,nm,"taxi, cab",toma un taxi y le dice: «Lléveme al hospital Rawson»,"he takes a taxi and tells him, “Take me to the Rawson hospital”"
3107,saber,nm,knowledge,el saber de los geógrafos griegos se difundió por Europa,the knowledge of Greek geography spread throughout Europe
3108,banca,nf,"bank, banking",La banca tradicional es un negocio cíclico.,Traditional banking is a cyclical business.
3109,transición,nf,transition,Era una etapa de transición política en que los actores cambiraron.,It was a period of political transition when the actors changed.
3110,asombrar,v,"to amaze, astound",se asombró de la reacción,she was amazed by the reaction
3111,tonelada,nf,ton,puede llegar hasta 30 toneladas de azúcar por hectárea,it can reach up to 30 tons of sugar per hectare
3112,lingüístico,adj,linguistic,estudia el cambio lingüístico y la clasificación de las lenguas,he studies linguistic change and the classification of languages
3113,quebrar,v,"to break, bend, weaken",La voz de la autoridad quebró el silencio: ¡Alto!,The voice of authority broke the silence: stop!
3114,válido,adj,valid,"una iniciativa válida, meditada, y bien hecha","a valid, planned, and well-made initiative"
3115,invasión,nf,invasion,Luchó en la guerra de la Independencia contra la invasión napoleónica.,He fought in the war for independence against the Napoleonic invasion.
3116,descartar,v,"to discard, reject, rule out",lee una declaración oficial para descartar dudas,he is reading an official declaration to dimiss all doubts
3117,contaminación,nf,"contamination, pollution","otro problema con la contaminación, es el agua gris",another problem of pollution is gray water
3118,aplastar,v,"to flatten, crush, smash",aplastó con la bota una araña,he smashed a spider with his boot
3119,amanecer,v,"to dawn, become light",recomiendan salir a la calle entre la medianoche y el amanecer,they recommend going out on the street between midnight and dawn
3120,reglamento,nm,"regulations, rules",¿Qué importa aquí el reglamento?,What do the regulations matter here?
3121,gravedad,nf,"seriousness, gravity","Habló con mucha cautela, por la extrema gravedad de las circunstancias.",He spoke cautiously because of the extreme gravity of the situation.
3122,beca,nf,"scholarship, grant",obtuvo una beca para acudir al seminario,he got a scholarship to go to seminary
3123,sincero,adj,sincere,tenía un sentimiento auténtico y sincero,he had an authentic and sincere feeling
3124,lata,nf,(tin) can,¿Podrías abrir esta lata de sopa?,Could you open this can of soup?
3125,hipótesis,nf,hypothesis,es una hipótesis que probablemente no sea verificable,it is a hypothesis that probably won’t be verifiable
3126,periodismo,nm,journalism,el periodismo es una carrera bien interesante,journalism is a very interesting career
3127,robo,nm,"theft, robbery",Era un ingenioso robo de más de cien millones de pesetas.,It was an ingenious theft of more than one hundred million pesetas.
3128,respectivamente,adv,respectively,Líbano y Siria habían sido liberados en 1943 y 1946 respectivamente,"Libya and Syria had been liberated in 1943 and 1946, respectively"
3129,desorden,nm,"disorder, mess",estuvo en un estado casi permanente de guerra y desorden,it was in an almost permanent state of war and disorder
3130,mudo,adj,"mute, silent",me paraliza y me deja mudo en su presencia,I am paralyzed and remain silent in his presence
3131,trayectoria,nf,"trajectory, path","Fue por un recorrido irregular, con curvas periódicas en sus trayectorias.","It went by an irregular path, with recurring curves in its trajectory."
3132,distraer,v,to distract,el barullo de vehículos y peatones distrae mi atención,the noise of the vehicles and pedestrians distracted my attention
3133,balcón,nm,balcony,cultivo flores en el balcón porque hay sol allí todo el día,I grow flowers on the balcony because there is sun there all day
3134,nostalgia,nf,"nostalgia, homesickness",recordaba con nostalgia el día que compré mi primera casa,I remembered with nostalgia the day that I bought my first house
3135,ganador,nm/f,winner,Ernest Hemingway era ganador del Premio Nobel (1954),Ernest Hemingway was the winner of the Nobel Prize (1954)
3136,apropiado,adj,appropriate,la película no es apropiado para niños pequeños,the movie is not appropriate for small children
3137,inesperado,adj,"unexpected, unforeseen",fue tan inesperado que me pareció la imaginación,it was so unexpected that I thought it was my imagination
3138,renta,nf,income,"Firmó un contrato, garantizándole una renta de 4000 francos mensuales.","He signed a contract, guaranteeing a monthly salary of 4,000 francs."
3139,autonomía,nf,"autonomy, range",no tenía aún autonomía ni capacidad de decisión,he still didn’t have autonomy nor the capacity to make decisions
3140,cartel,nm,poster,Marta señala el cartel de «No entrar»,Marta points to the sign that says “Do not enter”
3141,secuencia,nf,sequence,han determinado de la secuencia de ADN del genoma del hombre,they have determined the DNA sequence of man’s genome
3142,mecánico,adj,mechanical,fue un acto mecánico y repetido,it was a mechanical and repetitive act
3143,receptor,nm/f,"receiver, recipient",creando un mensaje que llega al receptor a través de un canal privado,creating a message that comes to the receiver through a private channel
3144,invitado,nm,guest,servir a los invitados es el deber de todo anfitrión,to serve one’s guests is the duty of every host
3145,acelerar,v,"to accelerate, speed (up)",sentí el corazón acelerar sus latidos y adelanté el paso,I felt by heart speeding up and I quickened my step
3146,asistente,nc,assistant,necesito un asistente porque tengo demasiado trabajo,I need an assistant because I have too much work
3147,fluir,v,to flow,Es un estrecho canal en el que el agua fluye con gran rapidez.,It is a narrow channel through which water flows rapidly
3148,enfrente,adv,in front (of),estamos en un parque enfrente de la escuela,we are in a park in front of the school
3149,monumento,nm,monument,los monumentos imitaron el estilo suntuoso del mausoleo,the monuments imitated the sumptuous style of the mausoleum
3150,campeonato,nm,championship,Son 12 equipos ya confirmados para el campeonato de beisbol.,12 teams have been confirmed for the championship in baseball.
3151,plano,adj,"flat, plain, even, level","me pareció un concierto demasiado plano, sin distinción","to me it seemed like a very plain concert, without elegance"
3152,decisivo,adj,"decisive, conclusive",jugó un papel decisivo en la ejecución de la revolución,he played a decisive role in the carrying out the revolution
3153,gallina,nf,"hen, coward",mi madre tiene 4 gallinas en el patio y vende los huevos a los vecinos,my mother has 4 hens in the yard and she sells the eggs to the neighbors
3154,confuso,adj,"confused, mixed up",estaba demasiada confusa para tomar una decisión,I was too confused to make a decision
3155,estricto,adj,"strict, rigorous",la expresión es justa en un sentido más estricto,the expression is correct in a more strict sense
3156,diagnóstico,nm,diagnosis,el diagnóstico de meningitis la dejó tranquila,the diagnosis of meningitis left her calm
3157,caza,nf,hunting (game),de las vigas cuelgan animales de caza: aves y liebres,game hung from the rafters: birds and rabbits
3158,pulmón,nm,lung,el pulmón herido me impedía respirar profundamente,my wounded lung kept me from breathing deeply
3159,botón,nm,button,se prendió el último botón de la camisa blanca,he fastened the last button of his white shirt
3160,gerente,nm/f,"manager, director",Es la capacidad de liderazgo que todo buen gerente debe poseer.,It’s the leadership ability that every good manager should have.
3161,bota,nf,"boot, wineskin",Estaban calzados con pesadas botas militares.,They were wearing heavy army boots.
3162,juguete,nm,toy,"cuando era chico, el único juguete que tenía era un camión de madera","when I was a child, the only toy I had was a wooden truck"
3163,celo,nm,"jealousy, zeal","está loco sino resentido, me tiene envidia, celos, me detesta","he is crazy but bitter, he is envious of me, jealous, he detests me"
3164,ideología,nf,ideology,el confucianismo llegó a ser la ideología oficial del estado chino,Confucianism became the official ideology of the Chinese state
3165,historiador,nm/f,historian,el historiador es un científico social,the historian is a social scientist
3166,estadística,nf,statistic,todavía no existen estadísticas fiables de la incidencia del embarazo,there are still no reliable statistics on the pregnancy rate
3167,península,nf,peninsula,la geografía de la península ibérica y también de las islas,the geography of the Iberian Peninsula and also the islands
3168,escrito,adj,written,estudiando todos los escritos y memorizando hasta la última letra,studying all the manuscripts and memorizing them up to the last letter
3169,ahorrar,v,"to save (money, time)","todos viajan en avión, para ahorrar horas",everyone travels by plane to save time
3170,asustado,adj,"scared, frightened","¿Tiene miedo? // Un poquito asustado, sí.","Are you scared? // A little, frightened, yes."
3171,vigente,adj,"in force, valid",la ley está más vigente que nunca,the law is more in force than ever
3172,circuito,nm,"circuit, circumference, track",una cámara de circuito cerrado de televisión,a camera for closed-circuit television
3173,centímetro,nm,centimeter,un metro de profundidad y sesenta centímetros de ancho,one meter deep and seventy centimeters wide
3174,antecedente,nm,antecedent,puede considerarse como un antecedente de las guías actuales,it can be considered a precursor of the current guidelines
3175,nieve,nf,snow,la nieve seguía cayendo suave,the snow continued falling smoothly
3176,gobernante,nc,"ruler, leader",la cumbre entre los gobernantes de China y EEUU,the summit between the leaders of China and the United States
3177,circulación,nf,"circulation, traffic",una de las avenidas en que hay mayor circulación de microbuses,one of the avenues where the main bus traffic is
3178,físico,nm/f,physicist,los físicos emplean también reactores de fisión o aceleradores,physicists also use fission reactors or accelerators
3179,limpieza,nf,"cleanliness, purity",Es un poco maniático con la limpieza de la casa.,He is a bit of a fanatic about the cleanliness of his house.
3180,carbono,nm,"carbon, coal","son compuestos orgánicos, su elemento principal es el carbono","they are organic compounds, their main element is carbon"
3181,franco,adj,"open, frank, outspoken","fue atento a sus deseos, generoso y franco, y de buen humor","he was attentive to their desires, generous and frank, and good-humoured"
3182,paloma,nf,dove,soltaron palomas durante su boda,they released doves during their wedding
3183,sacrificar,v,to sacrifice,tú a veces tienes que sacrificar sábados y domingos,sometimes you have to sacrifice Saturdays and Sundays
3184,casualidad,nf,"chance, coincidence","por suerte, por casualidad, de pronto los encontré en la multitud","luckily, by chance, I found them in the crowd"
3185,aquél,pron,that one over there (m),¿Y cuál es su coche? // Aquél.,And which is your car? // That one over there.
3186,planear,v,to plan,Enrique murió mientras planeaba un viaje a la Tierra Santa,Enrique died while planning a trip to the Holy Land
3187,queso,nm,cheese,"En las industrias lácteas se producen queso, yogur y otros productos.","In the milk industry, they produce cheese, yogurt, and other products."
3188,percepción,nf,perception,Mónica tuvo una nueva percepción de la calidad de vida allí,Monica has a new understanding of the quality of life there
3189,bienes,nm,"goods, property",los mercados establecen el precio de los bienes y servicios,the market establishes the prices of goods and services
3190,fundamento,nm,"foundation, ground","intentó un entusiasmo que no sentía, algo sin fundamento firme","he attempted an enthusiasm that he didn’t feel, something without firm foundation"
3191,innovación,nf,innovation,el cañon presentó la última innovación en tecnología de 35 milímetros,the Canon presented the last innovation in 35 millimeter technology
3192,devorar,v,"to devour, consume",para devorar enormes trozos de pan remojados,to devour huge pieces of soaked bread
3193,generoso,adj,generous,se ve generoso porque le da más que recibe,it seems generous because it gives more than it receives
3194,festival,nm,festival,La reunión tomó forma de un festival con música y entretenimiento.,The meeting turned into a festival with music and entertainment.
3195,contraste,nm,contrast,el contraste entre ambas hermanas era profundo y visible,the contrast between the two sisters was profound and visible
3196,intimidad,nf,"private life, intimacy",le gusta la soledad y guarda celosamente la intimidad,he likes solitude and jealously guards his private life
3197,inspiración,nf,"inspiration, inhalation",el amor era la inspiración de poetas,love was the inspiration of poets
3198,cancha,nf,"playing field, court",para construir una cancha de fútbol de proporciones apreciables,to build a soccer field of substantial proportions
3199,latín,nm,Latin,conocía solamente las lenguas clásicas—latín y griego,he only knew classical languages—Latin and Greek
3200,relevante,adj,"relevant, significant",hay otro hecho aun más significativo y relevante,there is another fact even more significant and relevant
3201,miel,nf,honey,las abejas que almacenan miel y polen para consumo de los adultos,bees that store honey and pollen for the consumption of the adults
3202,crónica,nf,"account, chronicle",inventó una crónica de la vida de Magdalena bastante creíble,he made up a pretty believable account of Magdalena’s life
3203,armonía,nf,harmony,siempre busca su armonía espiritual en la naturaleza,he is always looking for spiritual harmony in nature
3204,colectivo,nm,"collective, group",Ahora está entre los grupos políticos y los colectivos profesionales.,Now it is between the political groups and the professional unions.
3205,encanto,nm,"charm, spell",representó el encanto y la elegancia de esos viejos edificios,it represented the charm and elegance of those old buildings
3206,aliviar,v,"to lighten, relieve, comfort",el masaje me alivió del dolor,the massage lessened my pain
3207,trastorno,nm,"confusion, trouble, upheaval",además de la depresión neurótica y otros trastornos ansiosos,besides the neurotic depression and other anxiety problems
3208,fallo,nm,"mistake, blunder, fault","espero que todo salga bien, sin fallos","I hope that everything turns out all right, without mistakes"
3209,ceniza,nf,ash,sacudiendo la ceniza de su cigarro sobre el fogón,he is shaking his cigarette ash onto the stove
3210,gráfico,adj,"graphic, explicit",nunca conocí síntesis más gráfica y más breve de la vida,I have never known such a graphic and brief synthesis of life
3211,colaborador,nm/f,collaborator,Llegué con ayuda de un colaborador de lengua rusa.,I arrived with help from a assistent who spoke Russian.
3212,demandar,v,"to claim, sue",las mujeres salen a las calles para demandar nuevos derechos,women go out in the street to claim new rights
3213,contraer,v,"to contract, shrink, abbreviate",Contrajo la gripe antes de sus vacaciones.,He caught the flu before his vacation.
3214,manzana,nf,"apple, (city) block","Es una importante cosecha de mandarinas, melones y manzanas.","It is an important harvest of tangerines, melons, and apples."
3215,portugués,adj,Portuguese,alguna comida portuguesa tiene influencia española,some Portuguese food has Spanish influence
3216,elemental,adj,"elemental, basic","Era nada más que el material escolar, que era muy elemental.","It was no higher than school level, which was very basic."
3217,tropical,adj,tropical,"las frutas tropicales incluyen plátanos, mangos, y dátiles","tropical fruits include bananas, mangos, and dates"
3218,eficacia,nf,"efficiency, effectiveness",existen métodos para medir la eficacia de este instrumento,there are ways to measure the efficiency of this instrument
3219,revisión,nf,checking revision,midió el mantenimiento y revisión de líneas transmisoras eléctricas,he measured the maintenance and servicing of power transmission lines
3220,narrar,v,"to narrate, tell",esas palabras pueden narrar una historia,those words can tell a story
3221,retroceder,v,to go back,"quería retroceder a otra época, donde las cosas estaban más simples","I wanted to go back to another age, where things were simpler"
3222,ferrocarril,nm,railway,Me encanta sacar fotos de túneles y vías del ferrocarril.,I like to take pictures of tunnels and railroad tracks.
3223,excusa,nf,excuse,tendría que inventar una buena excusa para justificar su inasistencia,he would have to come up with a good excuse to justify his absence
3224,interacción,nf,interaction,oportunidades de colaboración y de interacción entre los estudiantes,opportunities for colaboration and interaction between students
3225,plantar,v,to plant,decidió plantar la idea en su cabeza,he decided to plant the idea in his head
3226,alteración,nf,"alteration, change",Estudia la manipulación de los genes con alteración del genotipo.,He is studying the manipulation of genes that change the genotype.
3227,inocente,adj,"innocent, naïve",sé que parece muy inocente y muy pura,I know that he seems very innocent and pure
3228,bala,nf,"bullet, shot",la bala de pistola no es muy efectiva de lejos,the bullet from a pistol is not very effective from far away
3229,urgente,adj,urgent,¿Qué era tan urgente que tuviste que llamarme a la media noche?,What was so urgent that you had to call me at midnight?
3230,afecto,nm,"affection, fondness",pasó a su lado y la miró con afecto y le sonrió,he passed by her side and looked at her with affection and smiled
3231,amoroso,adj,"loving, affectionate",tengo un padre amoroso que siempre me da los mejores consejos,I have a loving father that always gives me the best advice
3232,tropezar,v,"to trip, stumble",suben con cuidado las escaleras para no tropezar,they carefully climb the stairs so as not to stumble
3233,estable,adj,"stable, steady","pueden edificar una relación estable, basada en el amor","they can build a stable relationship, based on love"
3234,explorar,v,to explore,Tiene la ilusión de explorar espacios desconocidos.,He has the dream of exploring unknown places.
3235,diversidad,nf,"diversity, variety","contiene una gran diversidad de personas, culturas y lenguas","it contains a great diversity of people, cultures, and languages"
3236,rosario,nm,"rosary, beads, string",muchas veces rezábamos también el rosario con ella,we prayed the rosary with her many times also
3237,bancario,adj,"bank, banking",más comúnmente utilizados en el mundo bancario y financiero,most commonly used in the banking and financial world
3238,indispensable,adj,"indispensable, essential",es indispensable para crear un mercado líquido y eficiente,it is essential to create a liquid and efficient market
3239,proyección,nf,"projection, screening",la proyección comenzará en cinco minutos,the projection will begin in five minutes
3240,institucional,adj,institutional,han contado con un apoyo institucional generoso,they have counted on a generous institutional support
3241,enriquecer,v,to enrich,Tienes oportunidades para enriquecear su mente.,You have opportunities to enrich your mind.
3242,geográfico,adj,geographical,está ubicada en el centro geográfico de la región,it is located in the geographical center of the region
3243,curva,nf,curve,lo hacen siguiendo una trayectoria curva y no en línea recta,they followed a curved path and not a straight line
3244,acento,nm,"accent, stress",canta en español pero con acento inglés,he sings in Spanish but with an English accent
3245,ocasionar,v,"to occasion, bring about",espero no ocasionarle demasiadas molestias,I hope it doesn’t cause you too much trouble
3246,sanción,nf,"sanction, approval, penalty",los mecanismos punitivos (la aplicación de las sanciones),the punitive mechanisms (the implemmentation of sanctions)
3247,tribu,nf,tribe,pasé unos días con la tribu quechua en Perú,I spent a few days with the Quechua tribe in Peru
3248,herir,v,"to wound, hurt",hirió sus sentimientos sin razón,she hurt his feelings for no reason
3249,perfección,nf,perfection,advertimos la perfección técnica de la pintora,we noticed the technical perfection of the painter
3250,gigantesco,adj,"giant, gigantic","un brazo poderoso, enorme, gigantesco, me arrebató","a powerful, enormous, gigantic arm snatched me"
3251,giro,nm,"turn, draft, expression",el helicóptero se eleva mediante el giro de un rotor en el eje vertical,the helicopter rises by turning a rotor on the vertical axis
3252,ira,nf,"rage, wrath",Ramón tembló de ira,Ramón trembled with rage
3253,transparente,adj,"transparent, clear",todo esto es público y transparente,all of that is public and transparent
3254,discípulo,nm/f,disciple,era discípulo de una figura religiosa,he was a disciple of a religious figure
3255,salvación,nf,"salvation, rescue",el gurú ofrece la salvación de los discípulos,the guru offers salvation to the disciples
3256,cosecha,nf,"harvest, crop",tengo en el jardín una abundante cosecha de flores,I have a bumper crop of flowers in the garden
3257,eficiente,adj,efficient,Necesitamos un sistema más eficiente y equitativo.,We need a more efficient and equitable system.
3258,afición,nf,"fondness, interest",bien conocían la afición que David tenía por las mujeres hermosas,they knew too well of David’s fondness for beautiful women
3259,agresivo,adj,aggressive,Este perro se pone muy agresivo y no reconoce a nadie.,This dog becomes very aggressive and doesn’t recognize anyone
3260,entretener,v,"to entertain, amuse",trajo juguetes para entretener al nuevo amiguito,he brought toys to entertain his new friend
3261,desgraciadamente,adv,unfortunately,pero desgraciadamente estaba equivocado,but unfortunately he was wrong
3262,tornar,v,"to transform, turn",la rana se tornó en un príncipe,the frog transformed into a prince
3263,africano,adj,African,la exportación de animales salvajes de las junglas africanas es ilegal,the exportation of wild animals from African jungles is illegal
3264,cuenca,nf,"socket, basin, bowl",tratando de reinsertar un ojo en la cuenca vacía de una muñeca,trying to reinsert an eye in the empty eye socket of a doll
3265,viajero,nm,"traveler, passenger",es una guía turística para viajeros de fin de semana,he is a tour guide for weekend travelers
3266,finalidad,nf,"purpose, aim",con la finalidad de llegar al mayor número de lectores posible,with the purpose of attracting the largest possible number of readers
3267,fracasar,v,"to fail, be unsuccessful",Amalia fracasó su clase de español por la segunda vez,Amalia failed her Spanish class for the second time
3268,afrontar,v,"to face, confront",los hombres deben afrontar las consecuencias de sus actos,men have to face the consequences of their actions
3269,colorado,adj,"red, colored",entró de repente Gómez y me puse colorado como tomate,"suddenly Gómez came in, and I turned beet red"
3270,asombro,nm,"amazement, astonishment",el grito se le murió en la garganta y quedó muda de asombro,the cry died in his throat and he was speechless with astonishment
3271,callado,adj,"quiet, reserved","se quedó callado, no me contestó nada",he kept quiet; he didn’t reply at all
3272,altar,nm,altar,el sitio que en una basílica se reserva para el altar mayor,the place in a basilica that is reserved for the high altar
3273,excepcional,adj,"exceptional, unusual",los enormes trastornos que ocasionó tan excepcional actividad solar,the enormous disruption caused the unusual solar activity
3274,pescar,v,to fish,se iría al río a pescar truchas,he would go to the river to fish for trout
3275,ideológico,adj,ideological,el pluralismo ideológico es la esencia de la democracia,ideological pluralism is the essence of democracy
3276,seminario,nm,"seminar, seminary","hicieron unos cursos aquí, en el seminario de estudios teológicos","they took a few courses here, in the seminary for theological studies"
3277,disputar,v,"to dispute, contest",la elección se va a disputar entre profesionales,the election is going to be disputed among professionals
3278,visual,adj,visual,"su combinación de drama, música y arte visual","its combination of drama, music, and visual art"
3279,instinto,nm,instinct,"yo sentí, con mi instinto femenino, que era sincero","I felt, with my feminine instinct, that he was sincere"
3280,reiterar,v,"to reiterate, repeat","«No se preocupe», reiteró, «estamos para servirla».","“Don’t worry,” he repeated, “we are here to serve you.”"
3281,licenciado,nm/f,"graduate, lawyer","su área de formación, es licenciado en humanidades y lengua castellana","his training, he’s a graduate in humanities and the Spanish language"
3282,rapidez,nf,"speed, velocity",el tren se acercó con gran rapidez y tremendo ruido,the train approached with great speed and terrible noise
3283,recinto,nm,"grounds, precincts","dentro de su recinto hay paseos, un lago y un riachuelo","inside their enclosure there are paths, a lake, and a stream"
3284,admiración,nf,admiration,"secretamente, sentía una mezcla de envidia y de admiración por Adolfo","secretly, he felt a mixture of envy and admiration for Adolfo"
3285,acusación,nf,"accusation, charge",Fabio se defendió de las acusaciones hacia su gestión,Fabio defended himself from the accusations against his management
3286,editor,nm/f,"editor, publisher",en la reunión con los editores de periódicos de Canadá,in a meeting with the newspaper editors from Canada
3287,fundador,nm/f,founder,Colón fue el fundador de la primera colonia europea en América,Columbus was the founder of the first European colony in America
3288,mediano,adj,"average, medium, ordinary",es de estatura mediana,he is of average height
3289,indiferente,adj,indifferent,puede ser que no le guste o . . . sea indiferente,it could be that he doesn’t like it or . . . is indifferent
3290,software,nm,software,siempre habrá software para Windows,there will always be software for Windows
3291,adaptación,nf,adaptation,Leo la adaptación y traducción de las obras originales al gallego.,I am reading the adaptation and translation of the original Spanish works.
3292,joya,nf,"jewel, treasure",es una auténtica reliquia y una joya artística,it is an authentic relic and an artistic treasure
3293,importación,nf,"import, importation",el tráfico internacional abarca la exportación y la importación,international trade encompasses exports and imports
3294,trago,nm,"swig, drink",se bebió de un solo trago todo el refresco,he drank the whole soda in a single swig
3295,radiación,nf,radiation,La protección frente a la radiación ultravioleta incluye consultar el UVI.,Protection against ultraviolet radiation includes checking the ICU.
3296,aportación,nf,"contribution, support",Gracias por su ayuda y su aportación a un mundo major.,Thanks for your help and contributions to a better world.
3297,fortaleza,nf,"fortress, strength",el sitio la convirtió en una fortaleza impenetrable,the site had been converted into an impenetrable fortress
3298,resumen,nm,summary,éste es un resumen de una larga entrevista,this is a summary of a long interview
3299,teatral,adj,theatrical,Están llenas de vigor teatral y esplendores orquestales.,They are filled with theatrical vigor and orchestral magnificence.
3300,posar,v,"to rest, pose, land",cuidadosamente le posó las manos en los hombros,she carefully rested her hands on his shoulders
3301,cuaderno,nm,"notebook, workbook",después me pasó el cuaderno de registros y firmé en él,"later, he passed me the registry notebook and I signed it"
3302,piloto,nm/f,"pilot, driver",él quería ser piloto de Líneas Aéreas Paraguayas,he wanted to be a pilot for Paraguayan Airlines
3303,oral,adj,oral,Escuchó un diálogo oral entre dos personas de distintas lenguas.,He listened to an oral dialogue between two people in different languages.
3304,moreno,adj,"dark, brown","No es ni pálido ni moreno, ni alto ni bajo.","He is neither pale nor tan, neither tall nor short."
3305,furia,nf,"fury, rage","¡No estás obligado a nada!, dijo con furia inexplicable.",“You are not obligated to anything!” she said with inexplicable rage.
3306,elaboración,nf,production,la carne que se emplea en su elaboración es de pésima calidad,the meat used in its production is of poor quality
3307,imprescindible,adj,"essential, indispensable",es absolutamente imprescindible contar con el transporte marítimo,it is absolutely essential to have maritime transportation
3308,dinastía,nf,dynasty,en la linaje del fundador de la dinastía de Tikal,the lineage of the founders of the dynasty of Tikal
3309,entrever,v,"to glimpse, guess",es la palabra que uno puede entrever a lo largo de todo el libro,it’s the word that one can glimpse throughout the book
3310,liderazgo,nm,leadership,muestra que son más críticos con el estilo de liderazgo de sus jefes,it shows that they are more critical of the leadership styles of their bosses
3311,occidente,nm,West,debo establecer un punto de encuentro entre el oriente y el occidente,I should establish common ground between the East and the West
3312,tontería,nf,"stupidity, stupid thing","donde la ignorancia es felicidad, es tontería ser juicioso","where ignorance is bliss, it is foolish to be wise"
3313,sello,nm,"stamp, seal",¿Se vende sellos para postales aquí?,Do you sell postcard stamps here?
3314,consolidar,v,to consolidate,le permitió consolidar su posición en una vida tranquila,it allowed her to establish herself in the quiet life
3315,energético,adj,energetic,La salsa energética es una muy dinámica actividad aeróbica.,The energetic salsa dance is a very dynamic aerobic activity.
3316,déficit,nm,"deficit, shortage",pasamos por un problema económico que es el déficit financiero,we went through the problem of financial shortfall
3317,trapo,nm,"rag, cloth","soy peor que un trapo de cocina, peor que los algodones sucios","I am worse than a kitchen rag, worse than a dirty cotton ball"
3318,concretamente,adv,"specifically, exactly",ninguno sabía concretamente en qué consistía la acción,nobody knew specifically what the action consisted of
3319,senado,nm,senate,defendieron los derechos de los maestros en el congreso y el senado,they defended the rights of teachers in the House and the Senate
3320,argumentar,v,"to argue, deduce",en los foros de discusión pueden argumentar las propias opiniones,they can argue in favor of their opinions in discussion forums
3321,quinientos,num,five hundred,uno de quinientos y otro de mil,one of five hundred and another of one thousand
3322,colgado,adj,hanging,colgado al hombro llevaba un bolso,the man carried a bag over his shoulder
3323,bachillerato,nm,academic degree,"terminé el bachillerato en la universidad, en Estudios Hispánicos",I finished my university degree in Hispanic Studies
3324,clínico,adj,clinical,teníamos que publicar los resultados del ensayo clínico,we had to publish the results of the clinical test
3325,medieval,adj,medieval,entrelazaba la vida de un personaje medieval con el mundo actual,it intertwined the life of a medieval character with the real world
3326,iluminado,adj,illuminated,el lugar estaba iluminado por una luz clara,the place was illuminated by a white light
3327,respaldo,nm,"support, backing, back",perdió el respaldo de Rusia a causa de su neutralidad durante la guerra,he lost the support of Russia because of his neutrality during the war
3328,entrenador,nm/f,"coach, trainer, manager",Así lo visualiza el entrenador de el equipo nacional.,The coach of the national team visualizes things that way.
3329,rango,nm,"rank, range",el rango por sueldo es de $80–$100 por día,the range in salary is from $80 to $100 per day
3330,sanitario,adj,"health, sanitary, clean",libre de impurezas de acuerdo con el certificado sanitario,free of impurities according to the health certificate
3331,carbón,nm,"coal, charcoal",parece la entrada a una mina de carbón o a una cueva de tesoros,it looks like the entrance to a coal mine or a treasure cave
3332,heredar,v,to inherit,mi madre heredó la casa de su padre,my mother inherited her father’s house
3333,portal,nm,"website, portal, entrance",es un portal mexicano que recoge noticias de la web,it’s a Mexican website that gathers news from the web
3334,sospecha,nf,suspicion,vivió con la sospecha de que alguien lo observaba,he lived in suspicion that someone was watching him
3335,diplomático,adj,diplomatic,"el presidente, los ministros y los diplomáticos extranjeros","the president, the ministers, and the foreign diplomats"
3336,trazar,v,"to draw, trace",el bastón trazó un arco para señalar una dirección,the walking stick traced an arch to signal a direction
